ID,Virus name,Accession ID,Collection date,Location,Country,Country_color,Region,Clado,Linaje,Linaje__color,LATITUDE,LONGITUDE,YEAR,MONTH,DAY
MN908947.3,hCoV-19/Colombia/DC-INS-VG-25605/2022,EPI_ISL_15826567,2022-10-28,South America / Colombia / Bogota,Colombia,#ff8b9e,Bogota D.C.,GRA,XBB.1,#df7314,"4,598022","-74,075889",2022,10,28
hCoV-19/Colombia/DC-LSPSDS-347423/2022|EPI,hCoV-19/Colombia/DC-LSPSDS-347423/2022,EPI_ISL_16253415,2022-11-29,South America / Colombia / Bogota,Colombia,#ff8b9e,Bogota D.C.,GRA,XBB,#56589d,"4,598022","-74,075889",2022,11,29
hCoV-19/Peru/CAL-CITBM-CC13,hCoV-19/Colombia/ANT-LDSP4096/2022,EPI_ISL_16402341,2022-12-13,South America / Colombia / Antioquia / Rionegro,Colombia,#ff8b9e,Antioquia,GRA,XBB.1,#df7314,"4,598022","-74,075889",2022,12,13
hCoV-19/Peru/TAC-INS-45494/2023|EPI,hCoV-19/Colombia/PUT-INS-VG-27452/2023,EPI_ISL_16736308,2023-01-05,South America / Colombia / Putumayo,Colombia,#ff8b9e,Putumayo,GRA,XBB.1,#df7314,"4,598022","-74,075889",2023,1,5
hCoV-19/Peru/CAL-INS-47601/2023|EPI,hCoV-19/Colombia/ANT-CWOHC-VG-SEC04264Z/2022,EPI_ISL_16944563,2022-11-30,South America / Colombia / Antioquia / Medellin,Colombia,#ff8b9e,Antioquia,GRA,XBB.1,#df7314,"4,598022","-74,075889",2022,11,30
hCoV-19/Colombia/SAN-INS-VG-30352/2023|EPI,hCoV-19/Venezuela/Dtto8964/2023,EPI_ISL_17389566,2023-03-27,South America / Venezuela / Dtt Capital,Venezuela,#efcfff,Dtt Capital,GRA,XBB.1.5,#005ed5,"7,04838","-65,9099",2023,3,27
hCoV-19/Colombia/PUT-INS-VG-27452/2023|EPI,hCoV-19/Colombia/CUN-INS-VG-29520/2023,EPI_ISL_17776089,2023-04-26,South America / Colombia / Cundinamarca,Colombia,#ff8b9e,Cundinamarca,GRA,XBB.1.5.49,#005ed5,"4,598022","-74,075889",2023,4,26
hCoV-19/Peru/LIM-INS-45578/2023|EPI,hCoV-19/Peru/TAC-INS-45494/2023,EPI_ISL_17976510,2023-06-23,South America / Peru / Tacna,Peru,#7cd88e,Tacna,GRA,XBB,#56589d,"-9,14905","-75,05739",2023,6,23
hCoV-19/Colombia/ANT-LDSP4096/2022|EPI,hCoV-19/Peru/LIM-INS-45578/2023,EPI_ISL_17981643,2023-06-22,South America / Peru / Lima,Peru,#7cd88e,Lima,GRA,XBB.2.3,#ae7900,"-9,14905","-75,05739",2023,6,22
hCoV-19/Colombia/DC-INS-VG-30454/2023|EPI,hCoV-19/Colombia/DC-LSPSDS-31530/2023,EPI_ISL_18058306,2023-06-22,South America / Colombia / Distrito Capital / Bogota,Colombia,#ff8b9e,Bogota D.C.,GRA,XBB.1.5.72,#005ed5,"4,598022","-74,075889",2023,6,22
